구,면적 (㎡)
중구,1
서구,1.003172808
동구,1.006851978
영도구,1.020345461
부산진구,1.015791176
동래구,1.008069217
남구,1.028822625
북구,1.088972467
해운대구,1.0721586
사하구,1.139464702
금정구,1.022901506
강서구,2.37023607
연제구,1.000708897
수영구,1.008317374
사상구,1.007633162
기장군,1.56993334
